"adr","State","City","Service","Count","EditionYear","Comments","lon","lat"
"St. Louis, Missouri","Missouri","St. Louis","Hotel",5,1939,"",-90.1994042,38.6270025
"St. Petersburg, Florida","Florida","St. Petersburg","Tourist Home",3,1938,"",-82.6267345,27.7518284
"St. Petersburg, Florida","Florida","St. Petersburg","Hotel",1,1939,"",-82.6267345,27.7518284
"St. Petersburg, Florida","Florida","St. Petersburg","Tourist Home",3,1939,"",-82.6267345,27.7518284
"Stamford, Connecticut","Connecticut","Stamford","Hotel",2,1938,"Not categorized",-73.5387341,41.0534302
"Stamford, Connecticut","Connecticut","Stamford","Tourist Home",1,1939,"",-73.5387341,41.0534302
"Stamford, Connecticut","Connecticut","Stamford","Hotel",1,1939,"",-73.5387341,41.0534302
"Staunton, Virginia","Virginia","Staunton","Hotel",1,1939,"",-79.0716958,38.149576
"Staunton, Virginia","Virginia","Staunton","Restaurant",1,1939,"",-79.0716958,38.149576
"Staunton, Virginia","Virginia","Staunton","Hotel",1,1938,"",-79.0716958,38.149576
"Steubenville, Ohio","Ohio","Steubenville","Tourist Home",5,1939,"",-80.6339638,40.3697905
"Sumter, North Carolina","North Carolina","Sumter","Tavern",1,1939,"",-78.7257818,35.7719328
"Sumter, South Carolina","South Carolina","Sumter","Drug Store",1,1939,"",-80.3414693,33.9204354
"Sumter, South Carolina","South Carolina","Sumter","Tourist Home",1,1939,"",-80.3414693,33.9204354
"Swampscott, Massachusetts","Massachusetts","Swampscott","Tourist Home",1,1939,"",-70.9175562,42.4709437
"Syracuse, New York","New York","Syracuse","Tourist Home",1,1939,"",-76.1474244,43.0481221
"Syracuse, New York","New York","Syracuse","Hotel",1,1939,"",-76.1474244,43.0481221
"Syracuse, New York","New York","Syracuse","Hotel",1,1938,"",-76.1474244,43.0481221
"Tacoma, Washington","Washington","Tacoma","Tourist Home",3,1939,"",-122.4442906,47.2528768
"Tampa, Florida","Florida","Tampa","Hotel",4,1938,"",-82.4571776,27.950575
"Tampa, Florida","Florida","Tampa","Hotel",4,1939,"",-82.4571776,27.950575
"Tarrytown, New York","New York","Tarrytown","Tavern",1,1939,"",-73.8587461,41.0762077
"Terre Haute, Indiana","Indiana","Terre Haute","Tavern",1,1939,"",-87.4139092,39.4667034
"Terre Haute, Indiana","Indiana","Terre Haute","Hotel",1,1939,"",-87.4139092,39.4667034
"Texarcana, Arkansas","Arkansas","Texarcana","Tourist Home",1,1939,"",-94.0376881,33.4417915
"Texarcana, Arkansas","Arkansas","Texarcana","Hotel",1,1939,"",-94.0376881,33.4417915
"Texarcana, Texas","Texas","Texarcana","Hotel",1,1939,"",-94.0476882,33.425125
